,repeat,algorithm,average_run_time_per_iteration,no_iterations,no_households,no_tasks,penalty_weight,cost_function_type,max_demand initial,max_demand final,max_demand reduction,PAR initial,PAR final,PAR reduction,objective initial,objective final,objective reduction,cost initial,cost final,cost reduction
56,0,optimal,3.39,3,10,5,1000,piece-wise,23311,23311.0,0.0,5.58,5.58,0.0,3205932.6,3206665.6,-0.0,3205932.6,3202665.6,0.001
57,0,optimal_fw,0.004,3,10,5,1000,piece-wise,23311,15624.0,0.33,5.58,3.74,0.33,3205932.6,2814875.6520000002,0.122,3205932.6,2814611.52,0.122
58,0,heuristic,0.007,4,10,5,1000,piece-wise,23311,25170.0,-0.08,5.58,6.03,-0.081,3205932.6,3626220.2,-0.131,3205932.6,3608220.2,-0.125
59,0,heuristic_fw,0.003,4,10,5,1000,piece-wise,23311,15624.0,0.33,5.58,3.74,0.33,3205932.6,2814290.0042319996,0.122,3205932.6,2813125.55,0.123
60,1,optimal,3.104,5,10,5,1000,piece-wise,18164,18164.0,0.0,4.7,4.7,0.0,2916352.8,2919201.6,-0.001,2916352.8,2916201.6,0.0
61,1,optimal_fw,0.002,5,10,5,1000,piece-wise,18164,12432.615126859246,0.316,4.7,3.22,0.315,2916352.8,2602136.8473023367,0.108,2916352.8,2602056.13,0.108
62,1,heuristic,0.008,3,10,5,1000,piece-wise,18164,18022.0,0.008,4.7,4.67,0.006,2916352.8,2940158.8,-0.008,2916352.8,2877158.8,0.013
63,1,heuristic_fw,0.003,3,10,5,1000,piece-wise,18164,12520.321326722516,0.311,4.7,3.24,0.311,2916352.8,2607300.0799999996,0.106,2916352.8,2602988.07,0.107
64,0,optimal,3.187,3,10,5,5000,piece-wise,18044,21180.0,-0.174,4.17,4.9,-0.175,3281148.8,4109361.8,-0.252,3281148.8,3924361.8,-0.196
65,0,optimal_fw,0.002,3,10,5,5000,piece-wise,18044,14592.613446478996,0.191,4.17,3.37,0.192,3281148.8,2952119.17,0.1,3281148.8,2942073.01,0.103
66,0,heuristic,0.004,3,10,5,5000,piece-wise,18044,21180.0,-0.174,4.17,4.9,-0.175,3281148.8,4377828.3,-0.334,3281148.8,3927828.3,-0.197
67,0,heuristic_fw,0.002,3,10,5,5000,piece-wise,18044,15488.630941122306,0.142,4.17,3.58,0.141,3281148.8,2964302.815,0.097,3281148.8,2960670.64,0.098
68,1,optimal,3.15,3,10,5,5000,piece-wise,27943,22440.0,0.197,5.09,4.09,0.196,4178153.2,3813396.0,0.087,4178153.2,3723396.0,0.109
69,1,optimal_fw,0.002,3,10,5,5000,piece-wise,27943,21183.998650596313,0.242,5.09,3.86,0.242,4178153.2,3714413.4899999998,0.111,4178153.2,3706695.32,0.113
70,1,heuristic,0.008,3,10,5,5000,piece-wise,27943,22440.0,0.197,5.09,4.09,0.196,4178153.2,4298711.6,-0.029,4178153.2,3723711.6,0.109
71,1,heuristic_fw,0.001,3,10,5,5000,piece-wise,27943,23791.194663430728,0.149,5.09,4.33,0.149,4178153.2,3764684.3649999998,0.099,4178153.2,3747567.98,0.103
